[2026-05-11 14:26:25,683] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:25,683] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,162] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:26,949] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,663] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:27,706] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:28,536] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:29,340] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
[2026-05-11 14:26:30,141] INFO [app:181] FitControl Pro 2.0 initialized.
